Claim Date,Employee Name,Employee ID,Designation,Project Name,Email address,Total Persons,Allowable Amount,Total Bill Amount,List of Persons (as JSON),Bill
21-10-2024 00:00,Abel Lopez,1959,People Partner,HR,Abel.Lopez@xyz.com,2,800,777,"[{""employee_code"": ""1959"", ""name"": ""Abel Lopez""}, {""employee_code"": ""2000"", ""name"": ""Hunter Moore""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": ""EN-2111"", ""Total_Price"": 777}]"
21-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,6,2400,2588,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": ""2065"", ""name"": ""Kaitlyn Long""}, {""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]","[{""Bill_Date"": ""2024-10-18 00:00:00"", ""Bill_No"": 35, ""Total_Price"": 2588}]"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]"
23-08-2024 00:00,Maddox Perez,2011,Associate ,LTV - Tripadvisor,Maddox.Perez@xyz.com,8,3200,3981,"[{""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": 182966, ""Total_Price"": 3981}]"
23-08-2024 00:00,Maddox Perez,2011,Associate ,LTV - Tripadvisor,Maddox.Perez@xyz.com,8,3200,3981,"[{""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": 182966, ""Total_Price"": 3981}]"
25-10-2024,Liana Rodriguez,2051,Associate,o9 - Iveco,Liana.Rodriguez@xyz.com,11,4400,6509,"[{""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}, {""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}]","[{""Bill_Date"": ""25/10/24"", ""Bill_No"": 132, ""Total_Price"": 6509}]"
10-09-2024 00:00,Nia Thomas,2068,Data Engineer,-,Nia.Thomas@xyz.com,1,400,339.15,"[{""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]","[{""Bill_Date"": ""2024-04-10 00:00:00"", ""Bill_No"": ""247H9AZD00018283"", ""Total_Price"": 339.15}]"
10-06-2024 00:00,Tobin Green,1935,Data Scientist,TripAdvisor,Tobin.Green@xyz.com,5,2000,2221,"[{""employee_code"": ""1935"", ""name"": ""Tobin Green""}, {""employee_code"": ""2053"", ""name"": ""Vivian Mitchell""}, {""employee_code"": ""1924"", ""name"": ""Eden Jackson""}, {""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}, {""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]","[{""Bill_Date"": ""2024-04-10 00:00:00"", ""Bill_No"": ""SBB2024004253"", ""Total_Price"": 2221}]"
