Claim Date,Employee Name,Employee ID,Designation,Project Name,Email address,Total Persons,Allowable Amount,Total Bill Amount,List of Persons (as JSON),Bill,Seating Location
18-01-2024 00:00,Alexander Cole,2080,Associate,,Alexander.Cole@xyz.com,1,400,321,"[{""employee_code"": ""2080"", ""name"": ""Alexander Cole""}]","[{""Bill_Date"": ""2024-01-03"", ""Bill_No"": ""01_124"", ""Total_Price"": 321}]","Workafella, Chennai"
15-01-2024 00:00,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,19,7600,7647,"[{""employee_code"": ""2005"", ""name"": ""Zoe Sullivan""}, {""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2057"", ""name"": ""Amos Cameron""}, {""employee_code"": ""2056"", ""name"": ""Hope Garc?""}, {""employee_code"": ""2033"", ""name"": ""Gabriel Allen""}, {""employee_code"": ""2072"", ""name"": ""Mia Duncan""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2061"", ""name"": ""Sebastian Mitchell""}, {""employee_code"": ""2059"", ""name"": ""Amelia Hawkins""}, {""employee_code"": ""2067"", ""name"": ""Ariana Martinez""}, {""employee_code"": ""2073"", ""name"": ""June Wright""}, {""employee_code"": ""2012"", ""name"": ""Eli Harris""}, {""employee_code"": ""1941"", ""name"": ""Miles Elliott""}, {""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""1987"", ""name"": ""Sadie Cameron""}, {""employee_code"": ""2020"", ""name"": ""Carson Hill""}, {""employee_code"": ""2006"", ""name"": ""Carson Nelson""}]","[{""Bill_Date"": ""2024-01-02"", ""Bill_No"": ""01_37"", ""Total_Price"": 7647}]",Bangalore
16-01-2024 00:00,Felicity Taylor,2078,Associate ,GPC,Felicity.Taylor@xyz.com,1,400,380,"[{""employee_code"": ""2078"", ""name"": ""Felicity Taylor""}]","[{""Bill_Date"": ""2024-01-03"", ""Bill_No"": ""01_163"", ""Total_Price"": 380}]","Workafella, Chennai"
19-01-2024 00:00,Savannah Taylor,1870,Engagement Lead,edgeCore.ai,Savannah.Taylor@xyz.com,10,4000,3941,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2051"", ""name"": ""Liana Rodriguez""}, {""employee_code"": ""2052"", ""name"": ""Cameron Gibson""}, {""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}, {""employee_code"": ""2086"", ""name"": ""Darren Shaw""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]","[{""Bill_Date"": ""2024-01-17"", ""Bill_No"": ""01_142"", ""Total_Price"": 3941}]","Workafella, Chennai"
17-01-2024 00:00,Mabel Gibson,2008,Software Engineer,greenMath,Mabel.Gibson@xyz.com,4,1600,1700,"[{""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}, {""employee_code"": ""2051"", ""name"": ""Liana Rodriguez""}]","[{""Bill_Date"": ""2024-01-06"", ""Bill_No"": ""01_55"", ""Total_Price"": 1700}]","Workafella, Chennai"
27-01-2024 00:00,Alexander Cole,2080,Associate,,Alexander.Cole@xyz.com,1,400,338,"[{""employee_code"": ""2080"", ""name"": ""Alexander Cole""}]","[{""Bill_Date"": ""2024-01-16"", ""Bill_No"": ""01_170"", ""Total_Price"": 338}]","Workafella, Chennai"
24-01-2024 00:00,Alexander Cole,2080,Associate,,Alexander.Cole@xyz.com,1,400,403,"[{""employee_code"": ""2080"", ""name"": ""Alexander Cole""}]","[{""Bill_Date"": ""2024-01-07"", ""Bill_No"": ""01_170"", ""Total_Price"": 403}]","Workafella, Chennai"
23-01-2024 00:00,Mila Palmer,1996,Talent Partner,-,Mila.Palmer@xyz.com,2,800,862,"[{""employee_code"": ""1996"", ""name"": ""Mila Palmer""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}]","[{""Bill_Date"": ""2024-01-15"", ""Bill_No"": ""01_63"", ""Total_Price"": 862}]","Workafella, Chennai"
28-01-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,896,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-01-09"", ""Bill_No"": ""01_3"", ""Total_Price"": 896}]","Workafella, Chennai"
06-01-2024 00:00,Mabel Gibson,2008,Software Engineer,greenMath,Mabel.Gibson@xyz.com,11,4400,4383,"[{""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2052"", ""name"": ""Cameron Gibson""}, {""employee_code"": ""2043"", ""name"": ""Josie Barnes""}, {""employee_code"": ""1970"", ""name"": ""Benjamin Bishop""}, {""employee_code"": ""2048"", ""name"": ""Leo Evans""}, {""employee_code"": ""1932"", ""name"": ""Nia Ross""}, {""employee_code"": ""2037"", ""name"": ""Mack Lopez""}, {""employee_code"": ""2047"", ""name"": ""Mackenzie Mitchell""}, {""employee_code"": ""2046"", ""name"": ""Aubrey Adams""}]","[{""Bill_Date"": ""2024-01-01"", ""Bill_No"": ""01_56"", ""Total_Price"": 4383}]","Workafella, Chennai"
29-01-2024 00:00,Penelope Alexander,2070,Business Analyst,edgeCore,Penelope.Alexander@xyz.com,1,400,361,"[{""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]","[{""Bill_Date"": ""2024-01-06"", ""Bill_No"": ""01_126"", ""Total_Price"": 361}]","Workafella, Chennai"
25-01-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,6,2400,2392,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": ""2065"", ""name"": ""Kaitlyn Long""}, {""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]","[{""Bill_Date"": ""2024-01-18"", ""Bill_No"": ""01_2"", ""Total_Price"": 2392}]","Workafella, Chennai"
26-01-2024 00:00,Felicity Craig,0,intern,o9,Felicity.Craig@xyz.com,1,400,379,"[{""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]","[{""Bill_Date"": ""2024-01-09"", ""Bill_No"": ""01_73"", ""Total_Price"": 379}]",
