Claim Date,Employee Name,Employee ID,Designation,Project Name,Email address,Total Persons,Allowable Amount,Total Bill Amount,List of Persons (as JSON),Bill,Seating Location
21-10-2024 00:00,Abel Lopez,1959,People Partner,HR,Abel.Lopez@xyz.com,2,800,777.0,"[{""employee_code"": ""1959"", ""name"": ""Abel Lopez""}, {""employee_code"": ""2000"", ""name"": ""Hunter Moore""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": ""EN-2111"", ""Total_Price"": 777}]","Workafella, Chennai"
21-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,6,2400,2588.0,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": ""2065"", ""name"": ""Kaitlyn Long""}, {""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]","[{""Bill_Date"": ""2024-10-18 00:00:00"", ""Bill_No"": 35, ""Total_Price"": 2588}]","Workafella, Chennai"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882.0,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]","Workafella, Chennai"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882.0,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]","Workafella, Chennai"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882.0,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]","Workafella, Chennai"
10-10-2024 00:00,Savannah Taylor,1870,Senior Data Scientist,edgeCore.ai,Savannah.Taylor@xyz.com,2,800,882.0,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]","[{""Bill_Date"": ""2024-10-04 00:00:00"", ""Bill_No"": ""PPYCHEN/2425/F7480"", ""Total_Price"": 882}]","Workafella, Chennai"
23-08-2024 00:00,Maddox Perez,2011,Associate ,LTV - Tripadvisor,Maddox.Perez@xyz.com,8,3200,3981.0,"[{""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": 182966, ""Total_Price"": 3981}]","Workafella, Chennai"
23-08-2024 00:00,Maddox Perez,2011,Associate ,LTV - Tripadvisor,Maddox.Perez@xyz.com,8,3200,3981.0,"[{""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}]","[{""Bill_Date"": ""2024-10-10 00:00:00"", ""Bill_No"": 182966, ""Total_Price"": 3981}]","Workafella, Chennai"
25-10-2024,Liana Rodriguez,2051,Associate,o9 - Iveco,Liana.Rodriguez@xyz.com,11,4400,6509.0,"[{""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}, {""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}]","[{""Bill_Date"": ""25/10/24"", ""Bill_No"": 132, ""Total_Price"": 6509}]",Chennai
10-09-2024 00:00,Nia Thomas,2068,Data Engineer,-,Nia.Thomas@xyz.com,1,400,339.15,"[{""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]","[{""Bill_Date"": ""2024-04-10 00:00:00"", ""Bill_No"": ""247H9AZD00018283"", ""Total_Price"": 339.15}]","Workafella, Chennai"
